alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1707260434.2498,elite,3068.0202733363,1674324299.5762,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Nanjing,Asia,AS,China,CN,,false,Chinanet,32.0607,118.763,false,"Chinanet JS",true,Jiangsu,success,Asia/Shanghai,,1706832809,1707260540.2147,9002,http,221.231.24.94:9002,false,1027.7712345123,48354,210259,18.697435937095,221.231.24.94
true,1707259133.2003,elite,1474.0445611991,1616575408.5674,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Atlanta,"North America",NA,"United States",US,"Perimeter Center",false,"Cox Communications Inc.",33.9149,-84.3446,false,"Cox Communications",true,Georgia,success,America/New_York,30319,1706832786,1707260539.9584,4145,socks4,98.170.57.231:4145,true,804.83531951904,497135,58495,89.472310710365,98.170.57.231
true,1707260172.9446,elite,1715.5614139091,1638316923.897,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.749,-84.388,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1706832856,1707260539.7678,14282,socks5,192.252.208.70:14282,true,869.23122406006,571000,151186,79.065503900657,192.252.208.70
true,1707260539.7371,elite,5896.4766152983,1706597162.6727,"AS16276 OVH SAS",OVH,Singapore,Asia,AS,Singapore,SG,"Downtown Core",true,"OVH Hosting",1.27989,103.849,false,"OVH Singapore PTE. LTD",true,"Central Singapore",success,Asia/Singapore,069536,1707202000,1707260539.7371,61859,socks4,51.79.229.230:61859,true,2140.1257514954,2247,6756,24.958347217594,51.79.229.230
true,1707259753.5976,elite,166.54788084379,1706302143.8248,"AS3215 Orange S.A.",AS3215,Antony,Europe,EU,France,FR,,false,Orange,48.7498,2.3044,false,,false,Île-de-France,success,Europe/Paris,92160,1706906961,1707260539.6177,80,http,86.238.101.78:80,false,72.677850723267,4704,6791,40.922140060896,86.238.101.78
true,1707260358.3848,elite,2959.9117701002,1698580416.743,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1706833027,1707260539.5304,29187,http,67.43.227.228:29187,true,850.54421424866,417,57532,0.71959826744206,67.43.227.228
true,1707259729.0139,elite,4592.3863252253,1690909315.8194,"AS20473 The Constant Company, LLC",AS-CHOOPA,Shinagawa,Asia,AS,Japan,JP,,true,"The Constant Company",35.6092,139.73,false,"Vultr Holdings, LLC",true,Tokyo,success,Asia/Tokyo,141-0033,1707168276,1707260539.3891,80,http,45.76.196.51:80,false,971.55070304871,19174,24454,43.948840194371,45.76.196.51
true,1707260359.2207,elite,3092.3335300469,1696682596.65,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1706832604,1707260539.3849,22851,http,72.10.160.170:22851,true,745.06258964539,483,70589,0.67959252588924,72.10.160.170
true,1707260427.9868,elite,696.41031123496,1706544337.9585,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"Santa Clara","North America",NA,"United States",US,,true,"DigitalOcean, LLC",37.3931,-121.962,false,"DigitalOcean, LLC",true,California,success,America/Los_Angeles,95054,1707149249,1707260539.3229,8000,http,146.190.35.11:8000,false,644.88816261292,3034,5703,34.72587844798,146.190.35.11
true,1707260539.2429,elite,4643.7635621191,1707209093.2841,"AS16276 OVH SAS",OVH,Roubaix,Europe,EU,France,FR,,true,"OVH SAS",50.6918,3.2021,false,"OVH ISP",true,Hauts-de-France,success,Europe/Paris,59100,1707209602,1707260539.2429,13155,socks4,91.121.163.199:13155,true,1155.3606987,263,415,38.790560471976,91.121.163.199
true,1707260539.2323,elite,4167.1607905505,1707073307.8138,"AS51167 Contabo GmbH",CONTABO,Nuremberg,Europe,EU,Germany,DE,,true,"Contabo GmbH",49.405,11.1617,false,"Contabo GmbH",true,Bavaria,success,Europe/Berlin,90475,1707073312,1707260539.2323,45876,socks4,207.180.234.220:45876,true,2268.1176662445,980,1490,39.676113360324,207.180.234.220
true,1707244172.4164,elite,1666.0025654815,1707174626.5868,"AS400618 Prime Security Corp.",PRIME-SEC,"Los Angeles","North America",NA,"United States",US,,false,"Prime Security Corp",34.0544,-118.2441,false,,true,California,success,America/Los_Angeles,90060,1707174627,1707260539.0366,80,http,198.176.56.42:80,false,1947.3667144775,1016,55,94.864612511671,198.176.56.42
true,1707260529.5123,transparent,422.2346219967,1694769021.9606,"AS12912 T-Mobile Polska S.A.",TMPL,Warsaw,Europe,EU,Poland,PL,Mokotów,false,"T-Mobile Polska S.A",52.1814,20.9927,true,"GTS Poland Sp. z o.o",true,Mazovia,success,Europe/Warsaw,02-676,1706832741,1707260538.9619,3128,http,157.25.92.74:3128,false,81.984996795654,47202,64360,42.31010559151,157.25.92.74
true,1707260298.1159,elite,2816.2806488966,1707199887.9247,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Bengaluru,Asia,AS,India,IN,,true,"DigitalOcean, LLC",12.9634,77.5855,false,"DigitalOcean, LLC",false,Karnataka,success,Asia/Kolkata,560100,1707200208,1707260538.897,3128,http,142.93.217.205:3128,true,430.66596984863,152,604,20.10582010582,142.93.217.205
true,1707260412.8921,elite,2922.5929204155,1705945212.968,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1706748628,1707260538.8322,13285,http,72.10.160.91:13285,true,959.3780040741,136,7312,1.8259935553169,72.10.160.91
true,1707259332.1477,transparent,262.03340668856,1630569655.3369,"AS34989 ServeTheWorld AS",SERVETHEWORLD-AS,Oslo,Europe,EU,Norway,NO,,true,ServeTheWorld,59.955,10.859,false,STW,true,"Oslo County",success,Europe/Oslo,0671,1706775670,1707260538.7827,3128,http,91.189.177.186:3128,false,681.84208869934,201602,142441,58.597907819662,91.189.177.186
true,1707260442.8641,elite,4165.9191290392,1706341223.9427,"AS16276 OVH SAS",OVH,Saarbrücken,Europe,EU,Germany,DE,Mitte,true,"OVH SAS",49.2402,6.98519,false,"OVH GmbH",true,Saarland,success,Europe/Berlin,66111,1706946029,1707260538.7727,18173,socks4,54.36.108.149:18173,true,1113.657951355,3283,9310,26.070038910506,54.36.108.149
true,1707250494.639,elite,2167.1620778104,1699377397.3048,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",ALIBABA-CN-NET,Hangzhou,Asia,AS,China,CN,,true,"Addresses CNNIC",30.2994,120.1612,false,"Aliyun Computing Co., LTD",true,Zhejiang,success,Asia/Shanghai,,1706832635,1707260538.7265,8888,http,47.114.101.57:8888,false,1362.5619411469,65989,6192,91.421565231848,47.114.101.57
true,1707259884.3204,elite,2181.3969612122,1706860192.4435,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1706954365,1707260538.6875,5583,http,72.10.164.178:5583,true,1036.5695953369,45,2681,1.6507703595011,72.10.164.178
true,1707260538.6593,elite,4681.3959273117,1707165861.9009,"AS51167 Contabo GmbH",CONTABO,Nuremberg,Europe,EU,Germany,DE,,true,"Contabo GmbH",49.405,11.1617,false,"Contabo GmbH",true,Bavaria,success,Europe/Berlin,90475,1707165866,1707260538.6593,26080,socks4,167.86.69.65:26080,true,2278.0838012695,422,836,33.545310015898,167.86.69.65
true,1707260538.6507,elite,1372.9184928888,1695471908.2468,"AS135375 Today Communication Co.,Ltd",TCC-AS-AP,"Phnom Penh",Asia,AS,Cambodia,KH,,false,"Today Communication Co",11.5448,104.8921,false,,true,"Phnom Penh",success,Asia/Phnom_Penh,12308,1706832482,1707260538.6507,8080,http,103.216.49.178:8080,false,1909.3019962311,56792,49312,53.524843549725,103.216.49.178
true,1707260395.8354,elite,5441.7314019769,1706709821.9299,"AS27640 GIGAS HOSTING USA, LLC",GIGASNET-AS,Miami,"North America",NA,"United States",US,"Downtown Miami",true,"GIGAS HOSTING USA, LLC",25.7739,-80.1886,false,"GIGAS HOSTING USA, LLC",true,Florida,success,America/New_York,33195,1706709832,1707260538.6183,59377,socks4,104.36.166.42:59377,true,1740.7999038696,2049,5394,27.529222087868,104.36.166.42
true,1707256526.9545,elite,1945.9109548714,1661090839.9945,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4213,-87.2169,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1706832502,1707260538.6139,4145,socks5,184.181.217.213:4145,true,953.59563827515,298788,30602,90.709493305808,184.181.217.213
true,1707260538.5145,elite,2242.6480474662,1706991362.2879,"AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED",UCLOUD-HK-AS-AP,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Zenlayer Inc",1.35208,103.82,false,UCLOUD,false,"North West",success,Asia/Singapore,858877,1706991381,1707260538.5145,80,http,107.155.56.228:80,false,849.95341300964,1205,2137,36.056253740275,107.155.56.228
true,1707243937.4088,elite,2156.3519941983,1706300565.9057,"AS400618 Prime Security Corp.",PRIME-SEC,"Los Angeles","North America",NA,"United States",US,,false,"Prime Security Corp",34.0544,-118.2441,false,,true,California,success,America/Los_Angeles,90060,1706905458,1707260538.4885,80,http,198.176.56.39:80,false,1522.5872993469,11159,349,96.967327076816,198.176.56.39
true,1707258762.1502,elite,89.265187245951,1704886463.9398,"AS16276 OVH SAS",OVH,London,Europe,EU,"United Kingdom",GB,,true,"OVH SAS",51.5074,-0.127758,false,"Serverfrus Amin",true,England,success,Europe/London,W1B,1706832708,1707260538.4875,80,http,54.36.229.120:80,false,67.946195602417,13268,12430,51.630477079928,54.36.229.120
true,1707260167.1872,elite,2552.8343878686,1704886131.599,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1706832776,1707260538.4348,32907,http,67.43.227.226:32907,true,1198.1885433197,192,14576,1.3001083423619,67.43.227.226
true,1707260381.3544,elite,3390.5897534542,1692407026.0452,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1706832803,1707260538.4134,18113,http,67.43.227.227:18113,true,1115.6911849976,478,98198,0.48441363654789,67.43.227.227
true,1707260364.2541,elite,4445.524707865,1706816050.9766,"AS51167 Contabo GmbH",CONTABO,Nuremberg,Europe,EU,Germany,DE,,true,"Contabo GmbH",49.405,11.1617,false,"Contabo GmbH",true,Bavaria,success,Europe/Berlin,90475,1706816868,1707260538.3075,43677,socks4,173.249.53.61:43677,true,3098.2804298401,1913,4039,32.140456989247,173.249.53.61
true,1707260538.2429,elite,3910.241128933,1706942569.3179,"AS16276 OVH SAS",OVH,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"OVH SAS",50.1101,8.6721,false,"OVH GmbH",true,Hesse,success,Europe/Berlin,60306,1706942573,1707260538.2429,38942,socks4,145.239.2.102:38942,true,3736.3696098328,1491,2680,35.746823303764,145.239.2.102
true,1707258561.1829,elite,1331.0981290367,1662764174.3718,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Quanzhou,Asia,AS,China,CN,,false,Chinanet,24.9051,118.5707,false,"Chinanet FJ",true,Fujian,success,Asia/Shanghai,,1707168574,1707260538.2225,9091,http,120.37.121.209:9091,false,1010.9350681305,253580,29167,89.684417518135,120.37.121.209
true,1707260538.1726,elite,4736.982124285,1705246408.3928,"AS44477 STARK INDUSTRIES SOLUTIONS LTD",STARK-INDUSTRIES,Secaucus,"North America",NA,"United States",US,,false,"Stark Industries Solutions LTD",40.7876,-74.06,false,"Stark Industries Solutions LTD",true,"New Jersey",success,America/New_York,07094,1707060948,1707260538.1726,1080,socks5,103.35.189.217:1080,true,2557.7948093414,8091,19967,28.836695416637,103.35.189.217
true,1707260537.8082,elite,6709.3037065007,1707199228.8112,"AS46606 Unified Layer",UNIFIEDLAYER-AS-1,Provo,"North America",NA,"United States",US,"East Bay",true,"Unified Layer",40.2069,-111.642,false,"Unified Layer",false,Utah,success,America/Denver,84606,1707199729,1707260537.8082,58092,socks5,162.214.111.84:58092,true,1785.0270271301,233,685,25.381263616558,162.214.111.84
true,1707260211.1435,elite,5065.2633213966,1705211702.5057,"AS16276 OVH SAS",OVH,Strasbourg,Europe,EU,France,FR,,true,"OVH SAS",48.5734,7.75211,false,OVH,true,"Grand Est",success,Europe/Paris,67000,1707026349,1707260537.6626,19873,socks4,51.210.45.148:19873,true,3476.4289855957,9957,15781,38.685989587381,51.210.45.148
true,1707260537.6446,elite,7338.7887252952,1707201623.3396,"AS46606 Unified Layer",UNIFIEDLAYER-AS-1,Provo,"North America",NA,"United States",US,"East Bay",true,"Unified Layer",40.2069,-111.642,false,"Unified Layer",false,Utah,success,America/Denver,84606,1707202712,1707260537.6446,36433,socks4,162.240.147.48:36433,true,951.14946365356,159,612,20.622568093385,162.240.147.48
true,1707260537.6218,elite,5426.3636927867,1702486633.389,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Shenzhen Tencent Computer Systems Company Limited",1.352,103.8198,false,"Tencent Cloud Computing",false,"North West",success,Asia/Singapore,858877,1707016400,1707260537.6218,15673,socks5,43.134.64.177:15673,true,2070.502281189,1071,3025,26.1474609375,43.134.64.177
true,1707260537.199,elite,5459.686725229,1700437912.1727,"AS44486 Oliver Horscht is trading as ""SYNLINQ""",SYNLINQ,Markdorf,Europe,EU,Germany,DE,,false,"Gericke KG",47.7272,9.39433,false,,true,Baden-Wurttemberg,success,Europe/Berlin,88677,1706832621,1707260537.199,61755,socks4,45.81.232.17:61755,true,1468.0366516113,7895,41374,16.024274899024,45.81.232.17
true,1707260537.1602,elite,3369.9965743253,1680651191.3626,"AS14080 Telmex Colombia S.A.","Telmex Colombia S.A.",Bogotá,"South America",SA,Colombia,CO,"Comuna Chapinero",false,"Telmex Colombia S.A.",4.64814,-74.0593,false,"Telmex Colombia S.A.",true,"Bogota D.C.",success,America/Bogota,111311,1706832787,1707260537.1602,4153,socks4,181.57.138.70:4153,true,860.00919342041,15071,135870,9.9846960070491,181.57.138.70
true,1707260537.148,elite,6944.7471900595,1706421990.0051,"AS16276 OVH SAS",OVH,Singapore,Asia,AS,Singapore,SG,"Downtown Core",true,"OVH Hosting",1.27989,103.849,false,"OVH Singapore PTE. LTD",true,"Central Singapore",success,Asia/Singapore,069536,1707029123,1707260537.148,54457,socks5,51.79.229.230:54457,true,1082.6768875122,3462,9520,26.66769372978,51.79.229.230
true,1707260537.1471,elite,4421.9250481427,1705772527.5301,"AS44486 Oliver Horscht is trading as ""SYNLINQ""",SYNLINQ,Markdorf,Europe,EU,Germany,DE,,false,"Gericke KG",47.7272,9.39433,false,,true,Baden-Wurttemberg,success,Europe/Berlin,88677,1706982273,1707260537.1471,40610,socks5,45.81.232.17:40610,true,1664.6053791046,5456,16262,25.122018602081,45.81.232.17
true,1707260537.1422,elite,6762.3249839578,1706341304.802,"AS21499 Host Europe GmbH",GODADDY-SXB,Strasbourg,Europe,EU,France,FR,,false,"Host Europe GmbH",48.5855,7.7418,false,"Go Daddy Netherlands B.V",true,"Grand Est",success,Europe/Paris,67000,1706946151,1707260537.1422,15924,socks5,92.205.60.110:15924,true,3301.3913631439,4139,10200,28.865332310482,92.205.60.110
true,1707260537.1028,elite,7162.9582112135,1703266244.9003,"AS32244 Liquid Web, L.L.C",LIQUIDWEB,Lansing,"North America",NA,"United States",US,,true,"Liquid Web, L.L.C",42.6898,-84.6427,false,SourceDNS,true,Michigan,success,America/Detroit,48917,1706832577,1707260537.1028,57164,socks5,69.167.169.46:57164,true,3149.0256786346,5624,32184,14.875158696572,69.167.169.46
true,1707260537.0221,elite,3734.0372101589,1707176471.4713,"AS44486 Oliver Horscht is trading as ""SYNLINQ""",SYNLINQ,Markdorf,Europe,EU,Germany,DE,,false,"Gericke KG",47.7272,9.39433,false,,true,Baden-Wurttemberg,success,Europe/Berlin,88677,1707176476,1707260537.0221,2910,socks4,45.81.232.17:2910,true,1412.5175476074,387,726,34.770889487871,45.81.232.17
true,1707260536.9583,elite,3125.3322213257,1601509706.9971,"AS17547 M1 NET LTD",M1NET-SG-AP,Singapore,Asia,AS,Singapore,SG,"Jurong East",false,"M1 NET LTD",1.32525,103.749,false,"M1 NET LTD",true,"South West",success,Asia/Singapore,609928,1706832464,1707260536.9583,4153,socks4,129.126.65.78:4153,true,3817.8074359894,72272,540519,11.793906894847,129.126.65.78
true,1707259855.1267,elite,1734.7634103841,1611624663.91,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4767,-87.3141,false,"Cox Communications",true,Florida,success,America/Chicago,32526,1706832653,1707260536.9552,4145,socks5,98.162.25.23:4145,true,972.63669967651,929748,163909,85.012759942103,98.162.25.23
true,1707259810.0004,elite,2609.8578137656,1702373562.1422,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1706832760,1707260536.9495,21771,http,72.10.164.178:21771,true,1026.2589454651,385,32278,1.1787037320516,72.10.164.178
true,1707260296.7109,elite,7285.7479851028,1706121590.7576,"AS26496 GoDaddy.com, LLC",AS-26496-GO-DADDY-COM-LLC,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"GoDaddy.com, LLC",1.35208,103.82,false,"GoDaddy.com, LLC",true,"North West",success,Asia/Singapore,858877,1706728601,1707260536.9383,44569,socks4,184.168.121.153:44569,true,4214.3063545227,3792,11439,24.896592475872,184.168.121.153
true,1707260536.9341,elite,3984.864078748,1702208248.9343,"AS7713 PT Telekomunikasi Indonesia",telkomnet-as-ap,Banyuwangi,Asia,AS,Indonesia,ID,,false,"PT. Telekomunikasi Indonesia",-8.2471,114.3878,false,,true,"East Java",success,Asia/Jakarta,,1706832930,1707260536.9341,8199,socks5,36.64.132.91:8199,true,4124.3848800659,2841,39835,6.6571375011716,36.64.132.91
true,1707260341.4963,elite,1761.0720821363,1661087470.3521,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4213,-87.2169,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1706832627,1707260536.9255,4145,socks4,184.181.217.194:4145,true,3827.8076648712,233539,18105,92.805312266535,184.181.217.194
true,1707260475.3802,elite,4001.682146595,1705022454.8818,"AS44477 STARK INDUSTRIES SOLUTIONS LTD",STARK-INDUSTRIES,Meppel,Europe,EU,"The Netherlands",NL,,false,"Stark Industries Solutions LTD",52.6959,6.1847,false,"Stark Industries Solutions LTD",true,Drenthe,success,Europe/Amsterdam,7941,1706838255,1707260536.9118,1080,socks4,94.131.107.45:1080,true,4318.7482357025,9863,16680,37.158572881739,94.131.107.45
true,1707260413.2861,elite,4250.1073373763,1705650817.0964,"AS16276 OVH SAS",OVH,Strasbourg,Europe,EU,France,FR,,true,"OVH SAS",48.5734,7.75211,false,OVH,true,"Grand Est",success,Europe/Paris,67000,1706860534,1707260536.9024,24005,socks4,51.254.167.41:24005,true,1664.7365093231,6265,14635,29.976076555024,51.254.167.41
true,1707260536.8953,elite,3401.6114988056,1634745063.8583,"AS131090 CAT TELECOM Public Company Ltd,CAT",CAT-IDC-4bytenet-AS-AP,Bangkok,Asia,AS,Thailand,TH,,false,CAT-BB,13.7512,100.5172,false,,true,Bangkok,success,Asia/Bangkok,10200,1706832597,1707260536.8953,5678,socks4,159.192.97.129:5678,true,2024.1193771362,69616,373738,15.70212516409,159.192.97.129
true,1707260026.95,elite,1525.6404717469,1681830304.0216,"AS23679 Media Antar Nusa PT.",NUSANET-AS-ID,Medan,Asia,AS,Indonesia,ID,,false,"Media Antar Nusa PT.",3.5847,98.6629,false,"Nusanet MDN",true,"North Sumatra",success,Asia/Jakarta,,1706678363,1707260536.7811,8082,http,150.107.136.110:8082,false,909.89446640015,14029,32784,29.968171234486,150.107.136.110
true,1707260536.7796,elite,6283.1625242212,1706343015.4639,"AS40021 Nubes, LLC",NL-811-40021,"St Louis","North America",NA,"United States",US,,false,"Nubes, LLC",38.6364,-90.1985,false,"Contabo Inc",true,Missouri,success,America/Chicago,63101,1706950520,1707260536.7796,49654,socks4,207.244.229.34:49654,true,2576.9062042236,2678,9856,21.365884793362,207.244.229.34
true,1707260536.7707,elite,5158.6710021483,1706637261.5289,"AS51167 Contabo GmbH",CONTABO,Düsseldorf,Europe,EU,Germany,DE,,true,"Contabo GmbH",51.2277,6.77346,false,"TerraTransit AG",true,"North Rhine-Westphalia",success,Europe/Berlin,40213,1707244719,1707260536.7707,41049,socks4,109.123.254.43:41049,true,3537.7812385559,1790,6631,21.256382852393,109.123.254.43
true,1707260536.7634,elite,4193.1515761067,1706294724.3707,"AS16276 OVH SAS",OVH,Marseille,Europe,EU,France,FR,,true,"OVH SAS",43.2965,5.36978,false,"OVH Hosting, Inc",true,"Provence-Alpes-Côte d'Azur",success,Europe/Paris,13000,1706899605,1707260536.7634,36411,socks4,51.222.241.8:36411,true,2536.1077785492,4276,8962,32.300951805409,51.222.241.8
true,1707260536.7627,elite,2651.7012914022,1704375629.8194,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1706833018,1707260536.7627,1345,http,67.43.227.227:1345,true,822.82257080078,165,18052,0.90574737882198,67.43.227.227
true,1707259435.1493,elite,178.46510526391,1706055801.6739,"AS24940 Hetzner Online GmbH",HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,true,"Hetzner Online GmbH",60.1719,24.9347,false,HETZNER-DC,true,Uusimaa,success,Europe/Helsinki,00100,1706660604,1707260536.6925,80,http,95.216.195.138:80,false,95.138788223267,8462,5305,61.465824072056,95.216.195.138
true,1707260408.3866,elite,1959.7831111365,1612114133.359,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Phoenix,"North America",NA,"United States",US,,false,"Cox Communications Inc.",33.4484,-112.074,false,"Cox Communications",true,Arizona,success,America/Phoenix,85001,1706832407,1707260536.5877,4145,socks5,72.210.252.137:4145,true,948.53901863098,909229,188911,82.797184329867,72.210.252.137
